Participant;A;B;C
Alessandro;Alessandro;;
Kira;;Kira;
Dominik;;;Dominik
Jessica;;Jessica;
Laura;;;
Rahel;;;Rahel
Damiano;;;
Diana;Diana;;
Felicitas;;;
Melassa;;;
