Participant;A;B;C
Guido;;;Guido
Maria;;Maria;
Lewis;Lewis;;
Liam;;Liam;
Ludmila;;;Ludmila
Samuel;;;Samuel
Sumeyra;Sumeyra;;
Mathias;;Mathias;
Chantal;Chantal;;
Bernarda;Bernarda;;
