deezer-playlist-id;song;artist;year;genre;deezer-quote;lang
90;Happy;Pharrell Williams;2013;Pop;8.83;en
91;Us;James Bay, Alicia Keys;;;6.37;en
92;Whatever You Want;P!nk;2017;Pop;7.65;en
93;Alles ist jetzt;Bosse;;Pop;5.57;de
94;Tears Dry On Their Own;Amy Winehouse;2006;;7.35;en
95;Down By the Sally Gardens;Loreena McKennitt;2010;Keltische Musik;2.67;en
96;Beat It;Fall Out Boy, John Mayer;2008;Emo/Hardcore, Alternative/Indie, Rock;6.11;en
97;I'm Not The Only One;Sam Smith;2014;Alternative/Indie, Pop;9.0;en
98;What You Waiting For?;Gwen Stefani;2004;Pop;6.4;en
99;Rolling In The Deep;Adele;2011;Pop;7.73;en
100;In The Ghetto;Elvis Presley;1969;Country-Musik, Rockmusik, Soul;6.51;en
101;One Last Time;Ariana Grande;2014;R&B/Soul, Teen Pop, Pop;8.44;en
102;Freiheit;Westernhagen (WEA);;;8.44;de
103;Spoonman;Soundgarden;1994;Alternative Metal;8.44;en
104;Me and Mrs. Jones;Billy Paul;1972;Pop;8.44;en
105;Dusk Till Dawn;ZAYN, Sia;2018;Pop;8.44;en
106;Tom Traubert's Blues;Tom Waits;1976;Jazz;8.44;en
107;Go the Distance;Roger Bart;1997;Christliche Musik/Gospel, Kindermusik;8.44;en
108;Call Out My Name;The Weeknd;2018;R&B/Soul;8.44;en
109;Remedy;Adele;2015;Pop;8.44;en
110;Here It Goes Again;OK Go;2005;Alternative/Indie;8.44;en
111;Wonderful Tonight;Eric Clapton;1977;Softrock, Pop;8.44;en
112;Rooftop;Nico Santos;2018;Pop;8.44;en
113;Mirrors;Justin Timberlake;2013;Pop;8.44;en
114;Lego House;Ed Sheeran;2011;Folk, Pop;7.19;es
115;Ich bereue nichts;Silbermond;2009;Rock;3.0;de
116;Fast Car;Tracy Chapman;1988;Singer-Songwriter;8.36;en
117;An Wunder;Wincent Weiss;2018;Pop;4.98;en
118;Bills, Bills, Bills;Destiny's Child;1999;;3.36;de
119;Tag am Meer;Die Fantastischen Vier;1993;Hip-Hop/Rap;2.79;de
120;Con te;Sergio Sylvestre;2017;Pop;3.48;en
121;İsyan;Halil Sezai;2011;;4.68;en
122;Whataya Want from Me;Adam Lambert;2009;Alternative/Indie, Pop;4.65;en
123;Rush;Lewis Capaldi, Jessie Reyez;2018;Alternative/Indie;6.23;en
124;Just For Tonight;James Bay;2018;Alternative/Indie;5.11;en
125;Water Under The Bridge;Adele;2015;Pop;7.31;en
126;Traum;Cro;2014;Hip-Hop/Rap;4.47;de
127;Steady, As She Goes;The Raconteurs;2006;Alternative/Indie;5.03;en
128;You Are So Beautiful;Joe Cocker;1974;Classic Rock;6.69;en
129;The Middle;ZEDD, Maren Morris, Grey;2018;Pop;9.36;en
130;Welt der Wunder;Marteria;2014;Hip-Hop/Rap;4.47;de
131;I Miss You;Clean Bandit, Julia Michaels;2018;Dance/Electronic;8.28;en
132;Incomplete;Backstreet Boys;2005;Pop;6.67;en
133;Can't Fight This Feeling;REO Speedwagon;1984;Rock;6.37;en
134;Beautiful Tango;Hindi Zahra;2010;Folk;5.61;en
135;Pläne;Ina Müller;2013;Pop;4.16;de
136;Watch Over You;Alter Bridge;2007;Hard Rock, Rock;2.55;en
137;Chandelier;Sia;2014;Pop;9.65;de
138;Naked;James Arthur;2018;Pop;9.3;en
139;First Time;Robin Beck;1988;Rock, Pop;3.33;en
140;A Thousand Years;Christina Perri;2011;Pop;9.05;en
141;Maneater;Daryl Hall & John Oates;1982;Adult Contemporary;2.64;en
142;Play That Funky Music;Wild Cherry;1976;;6.77;en
143;Bis meine Welt die Augen schließt;Alexander Knappe, Joel Brandenstein;;;5.05;de
144;Stargazing;Kygo, Justin Jesso;2017;Elektronische Tanzmusik, Tropical House;8.93;it
145;Meine Soldaten;Maxim;2013;;5.14;de
146;Breakfast In America;Supertramp; Wikipedia;;5.14;en
147;She's Like the Wind;Patrick Swayze, Wendy Fraser;1987;R&B/Soul, Pop;5.14;en
148;Flames;David Guetta, Sia;2018;Popmusik;5.14;en
149;Ramblin' on My Mind;Gaetano Pellino;;;5.14;en
150;Willin';Little Feat;1971;Rock;5.14;en
151;These Words;Natasha Bedingfield;2007;Zeitgenössischer R&B, Pop;5.14;en
152;Ordinary World;Duran Duran;1993;;5.14;en
153;You Give Love A Bad Name;Bon Jovi;1986;Rock;5.14;en
154;Eine kleine Sehnsucht;Friedrich Hollander;1996;Klassische Musik;5.14;de
155;Enjoy the Silence;Depeche Mode;1990;Dance/Electronic;5.14;en
156;Du fängst mich ein;Sasha;2018;Pop;5.14;de
157;Gotta Work;Amerie;2007;Zeitgenössischer R&B, Pop;2.09;it
158;Come Together;The Beatles;1969;Pop-Rock, Rock;8.25;en
159;Heart Of Stone;Cher;;;2.91;en
160;You Are The Reason;Calum Scott;2018;Pop;7.23;en
161;Jenny Don't Be Hasty;Paolo Nutini;2006;Singer-Songwriter;4.19;en
162;Gangnam Style;Psy;2012;K-Pop, Electro-House, Dance-Pop;7.58;en
163;no tears left to cry;Ariana Grande;2018;Pop;9.68;en
164;Paradise;George Ezra;2018;Singer-Songwriter;8.61;es
165;The Drugs Don't Work;The Verve;1997;Britpop, Rock;4.08;en
166;Is This Love;Bob Marley & The Wailers;1978;Reggae;8.82;en
167;Supermarket Flowers;Ed Sheeran;2017;Pop;8.3;en
168;Crying in the Rain;a-ha;1990;Pop;6.56;en
169;Rock Your Body;Justin Timberlake;2002;Pop;2.4;en
170;Too Much To Ask;Niall Horan;2017;Classic Rock, Folk, Pop;5.09;en
171;Bridge Over Troubled Water;Simon & Garfunkel;1970;Folk-Rock, Folk, Pop;6.66;en
172;Home;Topic, Nico Santos;2016;Pop;5.75;en
173;Way Down We Go;KALEO;2016;Bluesrock, Alternative/Indie;8.12;en
174;Golden Slumbers;The Beatles;1969;Rock;6.01;de
175;Take It All;Adele;2011;Pop;6.07;en
176;Next To Me;Imagine Dragons;2017;Indie-Rock;6.9;en
177;Lash Out;Alice Merton;2019;Alternative/Indie;4.91;en
178;Ich lieb' dich überhaupt nicht mehr;Udo Lindenberg & Das Panikorchester;2011;Rock;2.94;de
179;The Mad Hatter;Kate Shindle, Wonderland Ensemble;2011;;1.64;en
180;Bette Davis Eyes;Kim Carnes;1981;;7.93;fr
181;Real to Me;Brian McFadden;2004;Pop;3.45;en
183;IDGAF;Dua Lipa;2017;Pop;2.65;en
184;You Can Do It;Ice Cube, Mack 10, Ms. Toi;1999;R&B/Soul;5.93;fr
185;Papaoutai;Stromae;2013;Synthiepop, Hip-Hop/Rap;8.45;en
186;Fell In Love With A Boy;Joss Stone;2003;Klassischer Soul;6.13;en
187;You Let Me Walk Alone;Michael Schulte;2018;Pop;6.78;en
188;Dude;Aerosmith;1987;Hard Rock, Rock;5.93;en
189;Finesse;Bruno Mars, Cardi B;2016;Funk, New Jack Swing, Zeitgenössischer R&B;5.93;en
190;Licence To Kill;Gladys Knight;1989;;5.93;en
191;I Heard It Through The Grapevine;Marvin Gaye;1968;;5.93;en
192;Échame La Culpa;Luis Fonsi, Demi Lovato;2018;Reggaeton, Pop;5.93;fr
193;Missing You;John Waite;1984;Pop;5.93;en
194;Signal;Joris;2018;Pop;5.93;en
195;Lonely Together;Avicii, RITA ORA;;Dance/Electronic;5.93;en
196;Nessun Dorma;Katherine Jenkins, The Prague Symphonia, Anthony Ingliss, Rudolfus Choir;;;5.93;it
197;Take A Look Around;Limp Bizkit;2000;Pop;5.93;en
198;Sex on Fire;Kings of Leon;2008;Rock;5.93;en
199;Never Gonna Give You Up;Rick Astley;1987;;5.93;it
200;Strangers;Sigrid;2018;Pop;5.93;en
201;A Song For You;Donny Hathaway;1971;Klassischer Soul;5.41;en
202;Respect;Aretha Franklin;2011;;8.02;en
203;Leaving on a Jet Plane;John Denver;1969;Folk-Rock;5.4;en
204;Scarborough Fair;Celtic Woman;2007;Keltische Musik;4.43;en
205;Ohne Dich;Münchener Freiheit;1989;;5.75;de
206;Your Man;Josh Turner;2006;;4.37;en
207;Watch Over You;Alter Bridge;2007;Hard Rock, Rock;5.53;en
208;One Night Only;Performed by Jennifer Hudson,, Deena Jones, The Dreams, Dreamgirls (Motion Picture Soundtrack);;;4.61;en
209;For You;Liam Payne, RITA ORA;2018;;6.72;en
210;Bed Of Roses;Bon Jovi;1992;Alternative/Indie;4.19;en
211;Shake Away;Michael Patrick Kelly;2017;Pop;5.09;en
212;In My Blood;Shawn Mendes;2018;Pop;9.65;en
