deezer-playlist-id;song;artist;year;genre;deezer-quote
86;Nobody's Perfect;Jessie J;2011;Christliche Musik/Gospel, Pop;6.17

87;Perfect Symphony (with Andrea Bocelli);Ed Sheeran, Andrea Bocelli;2017;Pop;7.92

88;Genius;LSD, Sia, Diplo, Labrinth;2013;House;9.29

89;Riptide;Vance Joy;2013;Singer-Songwriter, Alternative/Indie;9.21

90;"Happy (From ""Despicable Me 2"")";Pharrell Williams;2013;Pop;8.83

91;Us;James Bay, Alicia Keys;;;6.37

92;Whatever You Want;P!nk;2017;Pop;7.65

93;Alles ist jetzt;Bosse;;Pop;5.57

94;Tears Dry On Their Own;Amy Winehouse;2006;;7.35

95;Down By the Sally Gardens;Loreena McKennitt;2010;Keltische Musik;2.67

96;Beat It (Studio Version);Fall Out Boy, John Mayer;2008;Emo/Hardcore, Alternative/Indie, Rock;6.11

97;I'm Not The Only One;Sam Smith;2014;Alternative/Indie, Pop;9.00

98;What You Waiting For?;Gwen Stefani;2004;Pop;6.40

99;Rolling In The Deep;Adele;2011;Pop;7.73

100;In The Ghetto;Elvis Presley;1969;Country-Musik, Rockmusik, Soul;6.51

101;One Last Time;Ariana Grande;2014;R&B/Soul, Teen Pop, Pop;8.44

102;Freiheit (Remastered);Westernhagen (WEA);;;8.44

103;Spoonman;Soundgarden;1994;Alternative Metal;8.44

104;Me and Mrs. Jones;Billy Paul;1972;Pop;8.44

105;Dusk Till Dawn (Radio Edit);ZAYN, Sia;2018;Pop;8.44

106;Tom Traubert's Blues (Four Sheets To The Wind In Copenhagen);Tom Waits;1976;Jazz;8.44

107;Go the Distance;Roger Bart;1997;Christliche Musik/Gospel, Kindermusik;8.44

108;Call Out My Name;The Weeknd;2018;R&B/Soul;8.44

109;Remedy;Adele;2015;Pop;8.44

110;Here It Goes Again;OK Go;2005;Alternative/Indie;8.44

111;Wonderful Tonight;Eric Clapton;1977;Softrock, Pop;8.44

112;Rooftop;Nico Santos;2018;Pop;8.44

113;Mirrors;Justin Timberlake;2013;Pop;8.44

114;Lego House;Ed Sheeran;2011;Folk, Pop;7.19

115;Ich bereue nichts (Radio / Video Edit);Silbermond;2009;Rock;3.00

116;Fast Car;Tracy Chapman;1988;Singer-Songwriter;8.36

117;An Wunder;Wincent Weiss;2018;Pop;4.98

118;Bills, Bills, Bills;Destiny's Child;1999;;3.36

119;Tag am Meer;Die Fantastischen Vier;1993;Hip-Hop/Rap;2.79

120;Con te;Sergio Sylvestre;2017;Pop;3.48

121;İsyan;Halil Sezai;2011;;4.68

122;Whataya Want from Me;Adam Lambert;2009;Alternative/Indie, Pop;4.65

123;Rush;Lewis Capaldi, Jessie Reyez;2018;Alternative/Indie;6.23

124;Just For Tonight;James Bay;2018;Alternative/Indie;5.11

125;Water Under The Bridge;Adele;2015;Pop;7.31

126;Traum;Cro;2014;Hip-Hop/Rap;4.47

127;Steady, As She Goes;The Raconteurs;2006;Alternative/Indie;5.03

128;You Are So Beautiful;Joe Cocker;1974;Classic Rock;6.69

129;The Middle;ZEDD, Maren Morris, Grey;2018;Pop;9.36

130;Welt der Wunder;Marteria;2014;Hip-Hop/Rap;4.47

131;I Miss You (feat. Julia Michaels);Clean Bandit, Julia Michaels;2018;Dance/Electronic;8.28

132;Incomplete;Backstreet Boys;2005;Pop;6.67

133;Can't Fight This Feeling;REO Speedwagon;1984;Rock;6.37

134;Beautiful Tango (Remastered Version);Hindi Zahra;2010;Folk;5.61

135;Pläne;Ina Müller;2013;Pop;4.16

136;Watch Over You;Alter Bridge;2007;Hard Rock, Rock;2.55

137;Chandelier;Sia;2014;Pop;9.65

138;Naked;James Arthur;2018;Pop;9.30

139;First Time;Robin Beck;1988;Rock, Pop;3.33

140;A Thousand Years;Christina Perri;2011;Pop;9.05

141;Maneater;Daryl Hall & John Oates;1982;Adult Contemporary;2.64

142;Play That Funky Music;Wild Cherry;1976;;6.77

143;Bis meine Welt die Augen schließt;Alexander Knappe, Joel Brandenstein;;;5.05

144;Stargazing;Kygo, Justin Jesso;2017;Elektronische Tanzmusik, Tropical House;8.93

145;Meine Soldaten;Maxim;2013;;5.14

146;Breakfast In America;Supertramp; Wikipedia;;5.14

147;She's Like the Wind;Patrick Swayze, Wendy Fraser;1987;R&B/Soul, Pop;5.14

148;Flames;David Guetta, Sia;2018;Popmusik;5.14

149;Ramblin' on My Mind;Gaetano Pellino;;;5.14

150;Willin';Little Feat;1971;Rock;5.14

151;These Words;Natasha Bedingfield;2007;Zeitgenössischer R&B, Pop;5.14

152;Ordinary World;Duran Duran;1993;;5.14

153;You Give Love A Bad Name;Bon Jovi;1986;Rock;5.14

154;Eine kleine Sehnsucht;Friedrich Hollander;1996;Klassische Musik;5.14

155;Enjoy the Silence;Depeche Mode;1990;Dance/Electronic;5.14

156;Du fängst mich ein;Sasha;2018;Pop;5.14

157;Gotta Work;Amerie;2007;Zeitgenössischer R&B, Pop;2.09

158;Come Together (Remastered 2009);The Beatles;1969;Pop-Rock, Rock;8.25

159;Heart Of Stone (Album Version);Cher;;;2.91

160;You Are The Reason;Calum Scott;2018;Pop;7.23

161;Jenny Don't Be Hasty;Paolo Nutini;2006;Singer-Songwriter;4.19

162;Gangnam Style (강남스타일);Psy;2012;K-Pop, Electro-House, Dance-Pop;7.58

163;no tears left to cry;Ariana Grande;2018;Pop;9.68

164;Paradise;George Ezra;2018;Singer-Songwriter;8.61

165;The Drugs Don't Work (Remastered 2004);The Verve;1997;Britpop, Rock;4.08

166;Is This Love;Bob Marley & The Wailers;1978;Reggae;8.82

167;Supermarket Flowers;Ed Sheeran;2017;Pop;8.30

168;Crying in the Rain;a-ha;1990;Pop;6.56

169;Rock Your Body;Justin Timberlake;2002;Pop;2.40

170;Too Much To Ask;Niall Horan;2017;Classic Rock, Folk, Pop;5.09

171;Bridge Over Troubled Water;Simon & Garfunkel;1970;Folk-Rock, Folk, Pop;6.66

172;Home (feat. Nico Santos);Topic, Nico Santos;2016;Pop;5.75

173;Way Down We Go;KALEO;2016;Bluesrock, Alternative/Indie;8.12

174;Golden Slumbers (Remastered 2009);The Beatles;1969;Rock;6.01

175;Take It All;Adele;2011;Pop;6.07

176;Next To Me;Imagine Dragons;2017;Indie-Rock;6.90

177;Lash Out;Alice Merton;2019;Alternative/Indie;4.91

178;Ich lieb' dich überhaupt nicht mehr;Udo Lindenberg & Das Panikorchester;2011;Rock;2.94

179;The Mad Hatter;Kate Shindle, Wonderland Ensemble;2011;;1.64

180;Bette Davis Eyes;Kim Carnes;1981;;7.93

181;Real to Me;Brian McFadden;2004;Pop;3.45
183;IDGAF;Dua Lipa;2017;Pop;2.65
184;You Can Do It;Ice Cube, Mack 10, Ms. Toi;1999;R&B/Soul;5.93
185;Papaoutai;Stromae;2013;Synthiepop, Hip-Hop/Rap;8.45
186;Fell In Love With A Boy;Joss Stone;2003;Klassischer Soul;6.13
187;You Let Me Walk Alone;Michael Schulte;2018;Pop;6.78
188;Dude (Looks Like A Lady);Aerosmith;1987;Hard Rock, Rock;5.93
189;Finesse (Remix) [feat. Cardi B];Bruno Mars, Cardi B;2016;Funk, New Jack Swing, Zeitgenössischer R&B;5.93
190;Licence To Kill;Gladys Knight;1989;;5.93
191;I Heard It Through The Grapevine;Marvin Gaye;1968;;5.93
192;Échame La Culpa;Luis Fonsi, Demi Lovato;2018;Reggaeton, Pop;5.93
193;Missing You;John Waite;1984;Pop;5.93
194;Signal;Joris;2018;Pop;5.93
195;Lonely Together;Avicii, RITA ORA;;Dance/Electronic;5.93
196;Nessun Dorma (from Turandot);Katherine Jenkins, The Prague Symphonia, Anthony Ingliss, Rudolfus Choir;;;5.93
197;Take A Look Around;Limp Bizkit;2000;Pop;5.93
198;Sex on Fire;Kings of Leon;2008;Rock;5.93
199;Never Gonna Give You Up;Rick Astley;1987;;5.93
200;Strangers;Sigrid;2018;Pop;5.93
201;A Song For You;Donny Hathaway;1971;Klassischer Soul;5.41
202;Respect;Aretha Franklin;2011;;8.02
203;Leaving on a Jet Plane;John Denver;1969;Folk-Rock;5.40
204;Scarborough Fair;Celtic Woman;2007;Keltische Musik;4.43
205;Ohne Dich (schlaf' ich heut Nacht nicht ein);Münchener Freiheit;1989;;5.75
206;Your Man;Josh Turner;2006;;4.37
207;Watch Over You;Alter Bridge;2007;Hard Rock, Rock;5.53
208;One Night Only (Highlights Version);Performed by Jennifer Hudson,, Deena Jones, The Dreams, Dreamgirls (Motion Picture Soundtrack);;;4.61
209;For You (Fifty Shades Freed);Liam Payne, RITA ORA;2018;;6.72
210;Bed Of Roses;Bon Jovi;1992;Alternative/Indie;4.19
211;Shake Away;Michael Patrick Kelly;2017;Pop;5.09
212;In My Blood;Shawn Mendes;2018;Pop;9.65
